Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_295_18S_022_3	OTU_5190_18S_022_3	4	50	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2962_18S_022_3	OTU_3070_18S_022_3	2	25	Eukaryota	Telonemia	Eukaryota	Chlorophyta
OTU_2962_18S_022_3	OTU_3287_18S_3_200	2	25	Eukaryota	Telonemia	Eukaryota	Telonemia
OTU_2962_18S_022_3	OTU_3605_18S_3_200	2	25	Eukaryota	Telonemia	Eukaryota	Opalozoa
OTU_2963_18S_3_200	OTU_6616_18S_3_200	1	12.5	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_297_18S_022_3	OTU_297_18S_3_200	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2973_18S_022_3	OTU_3145_18S_022_3	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Haptophyta
OTU_2973_18S_022_3	OTU_5538_18S_3_200	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2973_18S_022_3	OTU_738_18S_3_200	3	37.5	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2975_18S_022_3	OTU_2659_18S_3_200	2	25	Eukaryota	Choanoflagellida	Eukaryota	Dinoflagellata
OTU_2975_18S_022_3	OTU_3826_18S_022_3	2	25	Eukaryota	Choanoflagellida	Eukaryota	Ochrophyta
OTU_2979_18S_3_200	OTU_5279_18S_3_200	1	12.5	Eukaryota	Ochrophyta	Eukaryota	Dinoflagellata
OTU_2979_18S_3_200	OTU_6691_18S_3_200	1	12.5	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_2986_18S_3_200	OTU_3605_18S_3_200	2	25	Eukaryota	Ochrophyta	Eukaryota	Opalozoa
OTU_2995_18S_022_3	OTU_4151_18S_022_3	3	37.5	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_30_18S_022_3	OTU_30_18S_3_200	4	50	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_301_18S_022_3	OTU_103_18S_3_200	3	37.5	Eukaryota	Ciliophora	Eukaryota	Dinoflagellata
OTU_301_18S_022_3	OTU_2141_18S_022_3	3	37.5	Eukaryota	Ciliophora	Eukaryota	Cercozoa
OTU_301_18S_022_3	OTU_659_18S_022_3	4	50	Eukaryota	Ciliophora	Eukaryota	Centroheliozoa
OTU_3022_18S_3_200	OTU_6718_18S_3_200	1	12.5	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
