ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_553_16S_022_3	0	0	0	0	0	0	0	40	63	20	0	101	56	117	3	0	59	119	103	32	33	9	0
ASV_556_16S_022_3	0	0	0	0	0	0	0	8	15	4	0	294	7	15	0	0	59	286	60	6	0	0	0
ASV_560_16S_022_3	24	0	0	0	0	0	0	0	53	101	0	0	69	310	0	0	0	0	80	77	138	61	20
ASV_561_16S_022_3	0	0	0	0	0	0	0	39	122	48	0	6	69	274	0	0	5	72	136	43	109	40	0
ASV_563_16S_022_3	0	0	0	0	0	0	0	0	14	9	0	5	293	310	0	0	0	13	58	28	49	88	0
ASV_564_16S_022_3	0	0	0	0	0	0	0	0	85	0	0	0	0	155	0	0	0	59	73	74	110	67	145
ASV_566_16S_022_3	0	0	0	0	14	19	84	0	0	0	216	17	0	0	243	109	0	0	0	0	0	0	0
ASV_569_16S_022_3	0	0	32	22	22	28	37	0	0	19	7	24	12	33	128	82	40	54	21	12	8	0	123
ASV_570_16S_022_3	27	0	35	0	19	0	0	31	70	0	0	0	0	100	0	23	21	42	91	82	63	24	51
ASV_574_16S_022_3	0	0	0	0	0	42	122	4	0	14	64	210	0	23	115	120	18	17	11	0	0	0	3
ASV_575_16S_022_3	0	0	0	0	0	0	0	249	18	33	128	0	0	0	0	0	0	10	403	0	70	0	7
ASV_576_16S_022_3	0	0	0	0	0	0	0	150	31	35	0	0	0	71	0	0	0	10	47	8	15	0	0
ASV_578_16S_022_3	0	0	0	0	0	66	0	10	6	49	96	256	0	17	275	47	16	11	0	29	0	8	12
ASV_579_16S_022_3	8	0	0	0	0	0	8	88	24	22	17	41	24	32	17	21	12	26	31	10	26	46	62
ASV_580_16S_022_3	0	0	46	84	35	0	0	0	37	0	20	0	0	55	70	33	20	0	36	0	0	0	196
ASV_582_16S_022_3	0	0	0	0	0	0	0	95	96	31	0	18	75	119	0	0	28	98	140	72	53	19	0
ASV_584_16S_022_3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	19	0	615	0	156	0	0
ASV_585_16S_022_3	0	0	0	0	44	45	42	0	0	0	49	202	0	0	129	69	28	0	0	0	0	0	0
ASV_587_16S_022_3	0	0	0	147	182	0	53	0	0	0	33	0	53	0	191	87	0	0	0	0	0	0	0
ASV_588_16S_022_3	0	0	4	44	0	32	0	0	0	0	10	0	0	0	162	60	0	0	0	0	0	0	67
ASV_590_16S_022_3	0	0	0	0	0	0	0	0	0	61	0	0	31	37	0	0	0	101	0	48	0	0	235
ASV_595_16S_022_3	0	0	0	0	0	0	0	0	0	0	0	77	0	64	49	0	0	46	70	0	0	0	117
ASV_596_16S_022_3	0	0	0	0	0	0	0	0	50	45	0	0	0	71	0	0	0	0	82	49	81	106	72
ASV_599_16S_022_3	0	0	0	0	0	0	0	52	64	0	0	0	43	401	0	0	0	66	198	36	80	0	0
