ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
OTU_245_18S_022.3	0	106	0	17	218	45	0	0	0	41	0	76	44	0	64	56	147	28	238	0	35	0
OTU_294_18S_022.3	0	439	132	14	0	4	0	5	17	0	0	64	0	233	162	396	0	0	0	5	0	0
OTU_295_18S_022.3	587	496	29	117	0	1984	0	0	0	0	62	0	0	0	0	0	0	95	0	0	0	0
OTU_296_18S_022.3	228	101	0	124	34	247	0	78	423	58	33	0	0	0	68	130	212	258	178	0	179	88
OTU_297_18S_022.3	0	0	0	0	0	0	0	0	0	0	0	1959	42	1484	0	0	0	0	0	0	1634	0
OTU_299_18S_022.3	1020	506	313	2427	332	772	321	49	336	229	73	238	57	75	98	197	59	100	34	81	201	543
OTU_301_18S_022.3	67	527	329	631	130	104	0	210	162	0	0	15	0	583	1992	149	0	0	0	24	0	33
OTU_291_18S_022.3	112	111	0	0	0	179	0	0	0	203	0	0	0	0	0	81	0	12	166	0	121	0
OTU_302_18S_022.3	511	1041	562	1849	201	1098	221	7	577	138	236	240	140	189	88	146	115	164	0	140	99	264
OTU_305_18S_022.3	0	0	18	199	50	114	0	127	287	57	0	0	0	93	97	619	161	144	66	102	136	80
OTU_306_18S_022.3	53	138	53	83	201	372	0	0	0	0	0	64	0	0	78	0	36	0	78	0	0	50
OTU_309_18S_022.3	1114	628	417	1219	434	518	0	291	152	172	385	404	281	60	0	213	185	235	356	213	344	37
OTU_310_18S_022.3	545	58	116	371	0	0	0	0	78	0	0	45	0	350	0	0	0	105	0	0	0	0
OTU_311_18S_022.3	183	124	306	130	652	424	0	0	83	121	95	42	0	0	0	0	0	31	62	0	0	0
OTU_312_18S_022.3	45	62	85	7	2	1238	42	666	14	0	0	26	29	84	258	127	0	32	0	81	22	419
OTU_313_18S_022.3	578	642	126	465	565	1657	0	0	157	0	0	0	0	0	0	0	154	68	0	107	490	0
OTU_316_18S_022.3	1568	185	980	3637	104	55	8	387	301	38	119	0	14	39	0	73	13	213	31	396	188	70
OTU_317_18S_022.3	0	0	0	0	0	0	0	147	94	44	0	167	364	201	375	86	0	130	162	285	0	59
OTU_320_18S_022.3	0	0	0	240	241	0	0	0	0	30	0	0	0	0	8	0	0	0	0	0	0	0
OTU_321_18S_022.3	1563	0	132	0	1407	1502	0	0	0	0	0	39	0	0	0	0	0	154	0	0	0	0
OTU_323_18S_022.3	3646	27	33	230	15	2968	0	0	0	0	153	563	15	0	0	0	0	0	0	0	14	0
OTU_324_18S_022.3	74	113	50	149	20	40	0	12	15	0	0	0	23	147	0	25	4	33	9	26	0	0
OTU_322_18S_022.3	0	37	0	152	19	0	0	0	0	139	0	0	0	0	0	148	0	0	0	0	10	0
OTU_326_18S_022.3	657	161	0	7767	218	65	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0
OTU_328_18S_022.3	481	0	0	0	1789	987	0	0	52	0	210	0	49	0	0	0	41	0	0	0	0	0
OTU_331_18S_022.3	276	62	37	17	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
OTU_330_18S_022.3	41	0	0	50	0	152	0	132	128	0	0	0	0	0	0	0	0	153	84	0	0	0
OTU_325_18S_022.3	1246	212	848	106	20	659	0	169	240	138	161	185	36	31	86	230	70	89	58	104	186	52
OTU_333_18S_022.3	37	0	308	760	381	380	348	317	93	243	275	517	1140	300	30	41	0	607	734	313	158	39
OTU_329_18S_022.3	170	164	165	322	0	94	0	6	57	154	0	40	27	190	50	26	0	37	9	144	40	17
OTU_336_18S_022.3	149	229	222	56	0	317	95	373	395	229	0	76	46	282	294	298	55	80	0	0	111	194
OTU_337_18S_022.3	19	0	0	41	0	170	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
